case_id,dataset,recording_id,noise_level,seed,num_speakers,n_words,continuity_smoothing,llm_no_profile,llm_profile,noisy_labels,wder_reduction_continuity_smoothing,outcome_continuity_smoothing,wder_reduction_llm_no_profile,outcome_llm_no_profile,wder_reduction_llm_profile,outcome_llm_profile
871e634a7bb5c3f8,ami_sdm,EN2002b.Array1-01,low,101,4,137,0.3722627737226277,0.364963503649635,0.364963503649635,0.364963503649635,-0.007299270072992747,worse,0.0,unchanged,0.0,unchanged
913119234f8e2947,ami_sdm,EN2002b.Array1-01,low,202,4,137,0.5766423357664233,0.4233576642335766,0.4233576642335766,0.4233576642335766,-0.1532846715328467,worse,0.0,unchanged,0.0,unchanged
2faefef40c830a5c,ami_sdm,EN2002b.Array1-01,medium,101,4,137,0.583941605839416,0.5766423357664233,0.5766423357664233,0.5766423357664233,-0.007299270072992692,worse,0.0,unchanged,0.0,unchanged
f08dfaf5eaf2de1f,ami_sdm,EN2002b.Array1-01,medium,202,4,137,0.4160583941605839,0.4160583941605839,0.4160583941605839,0.4160583941605839,0.0,unchanged,0.0,unchanged,0.0,unchanged
bbef58d8b9f833ad,ami_sdm,EN2002b.Array1-01,high,101,4,137,0.7153284671532847,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.014598540145985384,improved,0.0,unchanged,0.0,unchanged
dcd33d70bb3086a9,ami_sdm,EN2002b.Array1-01,high,202,4,137,0.8394160583941606,0.8394160583941606,0.8394160583941606,0.8394160583941606,0.0,unchanged,0.0,unchanged,0.0,unchanged
1dbe22e5aafc5bf5,ami_sdm,TS3003a.Array1-01,low,101,4,52,0.4038461538461538,0.3461538461538461,0.3461538461538461,0.3461538461538461,-0.05769230769230771,worse,0.0,unchanged,0.0,unchanged
5b216257aa4c3f95,ami_sdm,TS3003a.Array1-01,low,202,4,52,0.173076923076923,0.173076923076923,0.173076923076923,0.173076923076923,0.0,unchanged,0.0,unchanged,0.0,unchanged
6fed67eb41cd1546,ami_sdm,TS3003a.Array1-01,medium,101,4,52,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,-0.07692307692307698,worse,0.0,unchanged,0.0,unchanged
2c31acf098a8b0b3,ami_sdm,TS3003a.Array1-01,medium,202,4,52,0.4807692307692308,0.3269230769230769,0.3269230769230769,0.3269230769230769,-0.15384615384615385,worse,0.0,unchanged,0.0,unchanged
fa0b2d4a451c6019,ami_sdm,TS3003a.Array1-01,high,101,4,52,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.0,unchanged,0.0,unchanged,0.0,unchanged
